term,score
bagus,3
baik,3
mantap,4
puas,4
cepat,3
mudah,3
bantu,3
membantu,3
suka,3
terbaik,4
keren,3
nyaman,3
praktis,3
lengkap,3
rekomendasi,3
rekomended,3
murah,2
promo,2
diskon,2
lancar,3
berhasil,3
responsif,3
ramah,2
tepat,2
sesuai,3
aman,2
simple,2
simpel,2
update,1
senang,3
top,3
oke,2
ok,2
solutif,3
stabil,3
informatif,2
bersih,2
memuaskan,4
puasin,4
worth,3
berguna,3
mulus,3
gampang,3
dipermudah,3
dibantu,3
buruk,-4
jelek,-4
parah,-4
kecewa,-4
mengecewakan,-4
lambat,-3
lemot,-3
error,-4
eror,-4
bug,-3
crash,-4
gagal,-4
susah,-3
sulit,-3
ribet,-3
mahal,-2
tipu,-4
penipuan,-4
bohong,-4
kosong,-2
hilang,-3
lama,-3
cancel,-3
batal,-3
refund,-2
komplain,-3
keluhan,-3
marah,-3
kesal,-3
capek,-2
lelah,-2
payah,-4
aneh,-2
rusak,-3
hang,-3
loading,-2
pending,-3
macet,-3
freeze,-3
ngelag,-3
lag,-3
tidak,-1
bukan,-1
belum,-1
kurang,-2
minus,-2
masalah,-3
problem,-3
kendala,-3
ngaco,-3
buruknya,-4
bobrok,-4
hancur,-4
sampah,-4
menyesal,-4
menyesel,-4
zonk,-3
bohongin,-4
terlambat,-3
telat,-3
hilang,-3
salah,-3
cacat,-3
lemotnya,-3
lambatnya,-3
uninstall,-3
hapus,-2
benci,-4
